brand,name,collection,color,type,Notes,
Spoiled,Shuffle the Deck,,Red and black ,Glitter,,
Starlight Polish,Dragon,,Green-to-gold,Color shift shimmer,,
Starlight Polish,Phoenix,,Red-to-green,Color shift shimmer,,
Starlight Polish,Unicorn,,Blue-to-green,Color shift shimmer,,
Studio M,Purple Medallion,,Purple,Holo glitter,,
Studio M,Slammin' Red,,Red,Holo glitter,,
Studio M,Vintage Vamp,,Pink,Duochrome,,
Toma - Mood Changing,Glitter Plum to Baby Blue,,Purple w/ blue,Glitter,,
Ulta3,Twilight Fever,,Taupe w/ purple shimmer,Shimmer,,
Unknown,Pink/gold glass fleck,,Pink/gold,Glass fleck,,
Unknown,Red/gold glass fleck,,Red/gold,Glass fleck,,
Urban Decay,Barlust,,Brown,Shimmer,,
Urban Decay,Grunge,,Teal,Shimmer,,
Urban Decay,Hot Mess,,Magenta,Glass fleck,,
Urban Decay,Mars,,Green w/ silver glitter,Glitter,,
Urban Decay - Vintage,AC/DC,,Purple,Foil,,
Urban Decay - Vintage,Acid Rain,,Yellow w/ green shimmer,Shimmer,1st generation,
Urban Decay - Vintage,Asphyxia,,Purple w/ blue flash,Shimmer,,
Urban Decay - Vintage,Baked,,Bronze,Glitter,,
Urban Decay - Vintage,Bruise,,Maroon w/ green shimmer,Shimmer,,
Urban Decay - Vintage,Burnout,,Nude color shift,Shimmer,,
Urban Decay - Vintage,Cult,,Blue-green,Foil,,
Urban Decay - Vintage,Dude,,Green,Glitter,1st Generation,
Urban Decay - Vintage,Exhaust,,Pinky lavender,Shimmer,,
Urban Decay - Vintage,Flourescent,,White w/ pink flash,Shimmer,,
Urban Decay - Vintage,Freakshow,,Lilac w/ green flash,Shimmer,,
Urban Decay - Vintage,Graffiti,,Lavender w/ blue flash,Shimmer,,
Urban Decay - Vintage,Hotpants,,Silvery pink,Metallic,,
Urban Decay - Vintage,ID,,Orange,Color shift glitter,,
Urban Decay - Vintage,Kiss,,Red,Glass fleck,,
Urban Decay - Vintage,Metropolitan,,Fuchsia,Glitter,,
Urban Decay - Vintage,Midnight Cowboy,,Peach,Holo glitter,no label,
Urban Decay - Vintage,O,,Red,Shimmer,,
Urban Decay - Vintage,Perversion,,Black,Creme,,
Urban Decay - Vintage,Shattered,,Blue,Shimmer,1st generation,
Urban Decay - Vintage,Shelter,,Green,Glass fleck,1st generation,
Urban Decay - Vintage,Smog,,Brown,Shimmer,1st generation,murdered. bottle remains.
Urban Decay - Vintage,Stray Dog,,Gunmetal and green,Shimmer,1st generation,
Urban Decay - Vintage,Strip,,Silver,Foil,,
Urban Decay - Vintage,Toxin,,Purple,Color shift glitter,,
Urban Decay - Vintage,Trip,,Pink w/ blue flash,Shimmer,,
Urban Decay - Vintage,Twisted,,Gold,Metallic,,
Urban Decay - Vintage,Uzi,,Gunmetal,Shimmer,1st generation,
Urban Decay - Vintage,X,,Mauve w/ gold,Shimmer,,
Verity,Deep Violet,,Deep purple ,Jelly,,
W7,Metallic Mercury,,Purple w/ green glash,Foil,,
W7,Metallic Neptune,,Blue/purple/bronze,Duochrome,,
Wet n Wild - ColorIcon,24 Karats,Ice Baby,Copper and gold,Bar glitter,,
Wet n Wild - ColorIcon,Back Alley Deals,Ice Baby,Royal purple and red glitter,Glitter,,
Wet n Wild - ColorIcon,"Believe Me, It's Real",Ice Baby,Blue and purple glitter,Glitter,,
Wet n Wild - ColorIcon,Give Me a Price Quote,Ice Baby,Gold,Bar glitter,,
Wet n Wild - ColorIcon,It's All In the Cut,Ice Baby,Pink and purple glitter,Glitter,,
Wet n Wild - Craze,Inferno,,Orange,Shimmer,,
Wet n Wild - Craze,Nocturnal,,Midnight blue,Jelly,have 2,
Wet n Wild - Fantasy Makers,Black Magic (multi bar glitter),Tombstone bottle,Multi,Bar glitter,,
Wet n Wild - Fantasy Makers,Creepy Pumpkin,Tombstone bottle,Orange,Jelly glitter,,
Wet n Wild - Fantasy Makers,Night Glow,Tombstone bottle,Glow in the dark,Glow in the dark,,
Wet n Wild - Fantasy Makers,Once Upon a Time,Tombstone bottle,Red in black,Glitter,,
Wet n Wild - Fantasy Makers,Purple Potion,Tombstone bottle,Purple,Glitter,,
Wet n Wild - Fantasy Makers,Black Ice,,Black w/ green,Shimmer,,
Wet n Wild - Fantasy Makers,Glitterin,,Black w/ red,Glitter,,
Wet n Wild - Fantasy Makers,Jack O,,Orange ,Hidden Shimmer,,
Wet n Wild - Fantasy Makers,Sparklin',,Green,Glitter,,
Wet n Wild - Fastdry,Jungle Fever,On the Prowl,Green,Foil,,
Wet n Wild - Fastdry,Grey's Anatomy,,Grey,Duochrome,,
Wet n Wild - Fergie,Hollywood Walk of Fame,,Multi,Star glitter,,
Wet n Wild - Nail Zone,Blueberry Bop,,Green w/ multi,Glitter,blueberry scented,
Wet n Wild - Rock Solid,Rockin in Rubies,,Red w/ gold shimmer,Shimmer,,
Wet n Wild - Vintage,407A,,Multi,Glitter,,
Wet n Wild - Vintage,416A,,Green,Shimmer,,
Wet n Wild - Vintage,Totally Rad,,Lime green,Glitter,,
Wet n Wild - WIld Shine,Black Creme,,Black ,Creme,,
Wet n Wild - Wild Shine,CANDY CORN on the COB,,Orange ,Shimmer,,
Wet n Wild - Wild Shine,French White Creme,,White,Creme,,
Wet n Wild - Wild Shine,NERDS Need Love Too,,Blue w/ blue flash,Shimmer,,
YSL,Violet Baroque,,Eggplant,Creme,,
YSL,Wintergreen,,Teal,Hidden Shimmer,,
YSSY,15,,Red,Creme,,
YSSY,37,,Blurple,Creme,,
YSSY,38,,Purple,Metallic,,
YSSY,56,,Neon yellow,Neon,,
YSSY,63,,Green glitter,Green,,
YSSY,64,,Blue glitter,Blue,,
